name,team,pos,adp,proj_points
Tyler Lockett,,WR51,139.4,7.1
Younghoe Koo,ATL,K4,140,8.6
Cole Kmet,CHI,TE16,141,7.1
Romeo Doubs,GB,WR52,142,10.2
Kirk Cousins,ATL,QB19,142.6,13.7
Curtis Samuel,BUF,WR53,143.6,4.5
Jakobi Meyers,LV,WR54,143.6,14.5
Jerry Jeudy,CLE,WR55,143.8,14.2
Jake Elliott,PHI,K5,145.4,8.3
Zach Charbonnet,SEA,RB44,147.4,11
Ka'imi Fairbairn,HOU,K6,149,10.1
Evan McPherson,CIN,K7,149.2,7.8
Mike Williams,LAC,WR56,149.8,3.2
Matthew Stafford,LAR,QB20,150.6,13.9
Rico Dowdle,CAR,RB45,150.8,12.4
Joshua Palmer,BUF,WR57,151.4,7.2
Jake Moody,SF,K8,156.6,
Tyler Allgeier,ATL,RB46,156.8,6.2
Pittsburgh Steelers,DST,DST6,158.6,6.2
Kansas City Chiefs,DST,DST7,160,5.1
Ty Chandler,MIN,RB47,160.8,1.9
Adam Thielen,CAR,WR58,161,13.9
Jaleel McLaughlin,DEN,RB48,162,6.1
Deshaun Watson,CLE,QB21,163.8,11.4
Buffalo Bills,DST,DST8,164.8,5.4
Baker Mayfield,TB,QB22,166.6,22.5
Cameron Dicker,LAC,K9,166.8,10.5
Gabe Davis,JAC,WR59,168.8,5.4
Brandin Cooks,NO,WR60,169.2,7
Jaylen Wright,MIA,RB49,169.8,1.8
Luke Musgrave,GB,TE17,169.8,1.6
Adonai Mitchell,IND,WR61,170.6,3.2
Miami Dolphins,DST,DST9,171.6,4.1
Antonio Gibson,NE,RB50,173.8,6.1
Xavier Legette,CAR,WR62,178.6,7.8
Philadelphia Eagles,DST,DST10,178.6,6
Isaiah Likely,BAL,TE18,180.2,7.7
Tyler Conklin,LAC,TE19,182,7.6
Dontayvion Wicks,GB,WR63,182.2,6.5
Darnell Mooney,ATL,WR64,183.2,12.1
Tyler Bass,BUF,K10,183.4,8.6
Houston Texans,DST,DST11,184,6.5
Ja'Lynn Polk,NE,WR65,184.2,2.2
Bo Nix,DEN,QB23,184.6,19.4
Chicago Bears,DST,DST12,187.4,6.7
Rashid Shaheed,N,WR66,187.6,13.3
